MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
41.5,4.0,98.0,76.0,2144.0,14.7,80.0,Europe
28.1,4.0,141.0,80.0,3230.0,20.4,81.0,Europe
24.0,4.0,90.0,75.0,2108.0,15.5,74.0,Europe
29.0,4.0,98.0,83.0,2219.0,16.5,74.0,Europe
27.0,4.0,101.0,83.0,2202.0,15.3,76.0,Europe
31.5,4.0,89.0,71.0,1990.0,14.9,78.0,Europe
31.9,4.0,89.0,71.0,1925.0,14.0,79.0,Europe
25.0,4.0,110.0,87.0,2672.0,17.5,70.0,Europe
32.4,4.0,107.0,72.0,2290.0,17.0,80.0,Japan
28.0,4.0,97.0,75.0,2155.0,16.4,76.0,Japan
20.0,6.0,156.0,122.0,2807.0,13.5,73.0,Japan
33.7,4.0,107.0,75.0,2210.0,14.4,81.0,Japan
26.0,4.0,97.0,75.0,2265.0,18.2,77.0,Japan
29.5,4.0,98.0,68.0,2135.0,16.6,78.0,Japan
32.8,4.0,78.0,52.0,1985.0,19.4,78.0,Japan
23.7,3.0,70.0,100.0,2420.0,12.5,80.0,Japan
12.0,8.0,383.0,180.0,4955.0,11.5,71.0,US
17.0,8.0,260.0,110.0,4060.0,19.0,77.0,US
26.6,4.0,151.0,84.0,2635.0,16.4,81.0,US
14.0,8.0,304.0,150.0,3672.0,11.5,73.0,US
19.1,6.0,225.0,90.0,3381.0,18.7,80.0,US
23.0,4.0,151.0,0.0,3035.0,20.5,82.0,US
16.0,8.0,302.0,140.0,4141.0,14.0,74.0,US
20.5,6.0,231.0,105.0,3425.0,16.9,77.0,US
19.0,6.0,232.0,90.0,3211.0,17.0,75.0,US
25.0,4.0,98.0,0.0,2046.0,19.0,71.0,US
13.0,8.0,400.0,170.0,4746.0,12.0,71.0,US
14.0,8.0,455.0,225.0,4425.0,10.0,70.0,US
30.5,4.0,98.0,63.0,2051.0,17.0,77.0,US
22.0,6.0,198.0,95.0,2833.0,15.5,70.0,US
13.0,8.0,400.0,175.0,5140.0,12.0,71.0,US
20.6,6.0,225.0,110.0,3360.0,16.6,79.0,US
18.0,6.0,258.0,110.0,2962.0,13.5,71.0,US
13.0,8.0,350.0,165.0,4274.0,12.0,72.0,US
17.5,6.0,258.0,95.0,3193.0,17.8,76.0,US
13.0,8.0,351.0,158.0,4363.0,13.0,73.0,US
17.5,6.0,250.0,110.0,3520.0,16.4,77.0,US
15.0,8.0,318.0,150.0,4135.0,13.5,72.0,US
38.0,6.0,262.0,85.0,3015.0,17.0,82.0,US
14.0,8.0,351.0,148.0,4657.0,13.5,75.0,US
14.0,8.0,351.0,153.0,4129.0,13.0,72.0,US
16.0,8.0,400.0,180.0,4220.0,11.1,77.0,US
