MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
37.3,4.0,91.0,69.0,2130.0,14.7,79.0,Europe
30.0,4.0,146.0,67.0,3250.0,21.8,80.0,Europe
25.0,4.0,121.0,115.0,2671.0,13.5,75.0,Europe
29.0,4.0,90.0,70.0,1937.0,14.2,76.0,Europe
30.0,4.0,79.0,70.0,2074.0,19.5,71.0,Europe
21.0,4.0,120.0,87.0,2979.0,19.5,72.0,Europe
0.0,4.0,133.0,115.0,3090.0,17.5,70.0,Europe
40.8,4.0,85.0,65.0,2110.0,19.2,80.0,Japan
33.5,4.0,85.0,70.0,1945.0,16.8,77.0,Japan
27.0,4.0,97.0,88.0,2100.0,16.5,72.0,Japan
22.0,4.0,108.0,94.0,2379.0,16.5,73.0,Japan
24.0,4.0,113.0,95.0,2372.0,15.0,70.0,Japan
29.0,4.0,97.0,75.0,2171.0,16.0,75.0,Japan
38.0,4.0,91.0,67.0,1995.0,16.2,82.0,Japan
38.0,4.0,91.0,67.0,1965.0,15.0,82.0,Japan
0.0,8.0,383.0,175.0,4166.0,10.5,70.0,US
16.0,8.0,318.0,150.0,4498.0,14.5,75.0,US
19.4,6.0,232.0,90.0,3210.0,17.2,78.0,US
14.0,8.0,318.0,150.0,4077.0,14.0,72.0,US
18.0,8.0,318.0,150.0,3436.0,11.0,70.0,US
14.0,8.0,318.0,150.0,4237.0,14.5,73.0,US
23.0,4.0,140.0,78.0,2592.0,18.5,75.0,US
26.0,4.0,98.0,79.0,2255.0,17.7,76.0,US
19.0,6.0,232.0,100.0,2634.0,13.0,71.0,US
12.0,8.0,350.0,180.0,4499.0,12.5,73.0,US
18.0,6.0,232.0,100.0,2945.0,16.0,73.0,US
15.0,8.0,400.0,150.0,3761.0,9.5,70.0,US
16.0,6.0,258.0,110.0,3632.0,18.0,74.0,US
14.0,8.0,340.0,160.0,3609.0,8.0,70.0,US
15.0,8.0,429.0,198.0,4341.0,10.0,70.0,US
14.0,8.0,304.0,150.0,4257.0,15.5,74.0,US
14.0,8.0,454.0,220.0,4354.0,9.0,70.0,US
11.0,8.0,350.0,180.0,3664.0,11.0,73.0,US
27.0,4.0,140.0,86.0,2790.0,15.6,82.0,US
19.0,6.0,232.0,100.0,2901.0,16.0,74.0,US
13.0,8.0,350.0,145.0,4055.0,12.0,76.0,US
35.7,4.0,98.0,80.0,1915.0,14.4,79.0,US
30.9,4.0,105.0,75.0,2230.0,14.5,78.0,US
18.0,6.0,250.0,88.0,3021.0,16.5,73.0,US
20.0,6.0,198.0,95.0,3102.0,16.5,74.0,US
21.0,4.0,140.0,72.0,2401.0,19.5,73.0,US
