MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
24.0,4.0,107.0,90.0,2430.0,14.5,70.0,Europe
43.1,4.0,90.0,48.0,1985.0,21.5,78.0,Europe
19.0,4.0,121.0,112.0,2868.0,15.5,73.0,Europe
29.5,4.0,97.0,71.0,1825.0,12.2,76.0,Europe
29.8,4.0,89.0,62.0,1845.0,15.3,80.0,Europe
44.0,4.0,97.0,52.0,2130.0,24.6,82.0,Europe
29.0,4.0,97.0,78.0,1940.0,14.5,77.0,Europe
32.0,4.0,144.0,96.0,2665.0,13.9,82.0,Japan
32.0,4.0,71.0,65.0,1836.0,21.0,74.0,Japan
46.6,4.0,86.0,65.0,2110.0,17.9,80.0,Japan
25.0,4.0,113.0,95.0,2228.0,14.0,71.0,Japan
39.4,4.0,85.0,70.0,2070.0,18.6,78.0,Japan
24.0,4.0,134.0,96.0,2702.0,13.5,75.0,Japan
31.5,4.0,98.0,68.0,2045.0,18.5,77.0,Japan
31.0,4.0,76.0,52.0,1649.0,16.5,74.0,Japan
25.8,4.0,156.0,92.0,2620.0,14.4,81.0,US
14.0,8.0,302.0,140.0,4638.0,16.0,74.0,US
18.0,8.0,307.0,130.0,3504.0,12.0,70.0,US
20.0,6.0,232.0,100.0,2914.0,16.0,75.0,US
18.0,6.0,171.0,97.0,2984.0,14.5,75.0,US
19.2,6.0,231.0,105.0,3535.0,19.2,78.0,US
14.0,8.0,350.0,165.0,4209.0,12.0,71.0,US
15.0,6.0,250.0,100.0,3336.0,17.0,74.0,US
16.0,8.0,304.0,150.0,3433.0,12.0,70.0,US
26.0,4.0,122.0,80.0,2451.0,16.5,74.0,US
18.5,6.0,250.0,98.0,3525.0,19.0,77.0,US
15.5,8.0,350.0,170.0,4165.0,11.4,77.0,US
18.0,6.0,225.0,105.0,3121.0,16.5,73.0,US
19.0,6.0,250.0,100.0,3282.0,15.0,71.0,US
25.0,4.0,140.0,75.0,2542.0,17.0,74.0,US
29.0,4.0,135.0,84.0,2525.0,16.0,82.0,US
13.0,8.0,307.0,130.0,4098.0,14.0,72.0,US
19.0,6.0,225.0,100.0,3630.0,17.7,77.0,US
15.0,8.0,350.0,145.0,4440.0,14.0,75.0,US
16.9,8.0,350.0,155.0,4360.0,14.9,79.0,US
19.8,6.0,200.0,85.0,2990.0,18.2,79.0,US
18.0,6.0,232.0,100.0,3288.0,15.5,71.0,US
28.0,4.0,120.0,79.0,2625.0,18.6,82.0,US
23.5,6.0,173.0,110.0,2725.0,12.6,81.0,US
13.0,8.0,302.0,129.0,3169.0,12.0,75.0,US
