MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
26.0,4.0,121.0,113.0,2234.0,12.5,70.0,Europe
36.0,4.0,79.0,58.0,1825.0,18.6,77.0,Europe
26.0,4.0,98.0,90.0,2265.0,15.5,73.0,Europe
23.0,4.0,97.0,54.0,2254.0,23.5,72.0,Europe
36.4,5.0,121.0,67.0,2950.0,19.9,80.0,Europe
25.0,4.0,90.0,71.0,2223.0,16.5,75.0,Europe
17.0,6.0,163.0,125.0,3140.0,13.6,78.0,Europe
24.0,4.0,119.0,97.0,2545.0,17.0,75.0,Japan
35.0,4.0,72.0,69.0,1613.0,18.0,71.0,Japan
37.0,4.0,85.0,65.0,1975.0,19.4,81.0,Japan
25.4,6.0,168.0,116.0,2900.0,12.6,81.0,Japan
19.0,3.0,70.0,97.0,2330.0,13.5,72.0,Japan
24.2,6.0,146.0,120.0,2930.0,13.8,81.0,Japan
32.0,4.0,85.0,70.0,1990.0,17.0,76.0,Japan
24.0,4.0,113.0,95.0,2278.0,15.5,72.0,Japan
18.6,6.0,225.0,110.0,3620.0,18.7,78.0,US
16.0,6.0,250.0,105.0,3897.0,18.5,75.0,US
15.0,8.0,383.0,170.0,3563.0,10.0,70.0,US
22.0,4.0,140.0,72.0,2408.0,19.0,71.0,US
22.5,6.0,232.0,90.0,3085.0,17.6,76.0,US
19.0,6.0,250.0,88.0,3302.0,15.5,71.0,US
15.0,8.0,318.0,150.0,3399.0,11.0,73.0,US
23.0,4.0,122.0,86.0,2220.0,14.0,71.0,US
12.0,8.0,350.0,160.0,4456.0,13.5,72.0,US
11.0,8.0,400.0,150.0,4997.0,14.0,73.0,US
15.0,6.0,250.0,72.0,3432.0,21.0,75.0,US
32.1,4.0,98.0,70.0,2120.0,15.5,80.0,US
13.0,8.0,400.0,190.0,4422.0,12.5,72.0,US
25.0,4.0,140.0,92.0,2572.0,14.9,76.0,US
14.0,8.0,400.0,175.0,4385.0,12.0,72.0,US
28.0,4.0,90.0,75.0,2125.0,14.5,74.0,US
20.2,8.0,302.0,139.0,3570.0,12.8,78.0,US
16.0,8.0,351.0,149.0,4335.0,14.5,77.0,US
12.0,8.0,400.0,167.0,4906.0,12.5,73.0,US
0.0,8.0,360.0,175.0,3850.0,11.0,70.0,US
15.0,8.0,304.0,150.0,3892.0,12.5,72.0,US
36.0,4.0,135.0,84.0,2370.0,13.0,82.0,US
12.0,8.0,455.0,225.0,4951.0,11.0,73.0,US
20.0,6.0,225.0,100.0,3651.0,17.7,76.0,US
0.0,8.0,351.0,153.0,4034.0,11.0,70.0,US
