MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
30.7,6.0,145.0,76.0,3160.0,19.6,81.0,Europe
29.0,4.0,68.0,49.0,1867.0,19.5,73.0,Europe
20.0,4.0,114.0,91.0,2582.0,14.0,73.0,Europe
44.3,4.0,90.0,48.0,2085.0,21.7,80.0,Europe
20.0,4.0,130.0,102.0,3150.0,15.7,76.0,Europe
34.3,4.0,97.0,78.0,2188.0,15.8,80.0,Europe
19.0,4.0,120.0,88.0,3270.0,21.9,76.0,Europe
36.1,4.0,91.0,60.0,1800.0,16.4,78.0,Japan
32.0,4.0,91.0,67.0,1965.0,15.7,82.0,Japan
37.7,4.0,89.0,62.0,2050.0,17.3,81.0,Japan
24.0,4.0,120.0,97.0,2489.0,15.0,74.0,Japan
32.0,4.0,83.0,61.0,2003.0,19.0,74.0,Japan
18.0,3.0,70.0,90.0,2124.0,13.5,73.0,Japan
32.3,4.0,97.0,67.0,2065.0,17.8,81.0,Japan
22.0,6.0,146.0,97.0,2815.0,14.5,77.0,Japan
29.9,4.0,98.0,65.0,2380.0,20.7,81.0,US
18.0,6.0,199.0,97.0,2774.0,15.5,70.0,US
30.0,4.0,98.0,68.0,2155.0,16.5,78.0,US
21.0,6.0,231.0,110.0,3039.0,15.0,75.0,US
28.8,6.0,173.0,115.0,2595.0,11.3,79.0,US
20.2,6.0,200.0,88.0,3060.0,17.1,81.0,US
18.0,6.0,225.0,95.0,3785.0,19.0,75.0,US
20.0,8.0,262.0,110.0,3221.0,13.5,75.0,US
26.5,4.0,140.0,72.0,2565.0,13.6,76.0,US
20.0,4.0,140.0,90.0,2408.0,19.5,72.0,US
26.6,8.0,350.0,105.0,3725.0,19.0,81.0,US
23.0,4.0,140.0,83.0,2639.0,17.0,75.0,US
17.6,6.0,225.0,85.0,3465.0,16.6,81.0,US
39.0,4.0,86.0,64.0,1875.0,16.4,81.0,US
20.2,6.0,200.0,85.0,2965.0,15.8,78.0,US
22.0,6.0,232.0,112.0,2835.0,14.7,82.0,US
25.5,4.0,140.0,89.0,2755.0,15.8,77.0,US
28.0,4.0,112.0,88.0,2605.0,19.6,82.0,US
21.0,6.0,199.0,90.0,2648.0,15.0,70.0,US
14.0,8.0,318.0,150.0,4457.0,13.5,74.0,US
16.0,6.0,250.0,100.0,3278.0,18.0,73.0,US
13.0,8.0,350.0,145.0,3988.0,13.0,73.0,US
24.5,4.0,151.0,88.0,2740.0,16.0,77.0,US
25.1,4.0,140.0,88.0,2720.0,15.4,78.0,US
17.5,8.0,305.0,145.0,3880.0,12.5,77.0,US
