MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
26.0,4.0,96.0,69.0,2189.0,18.0,72.0,Europe
21.5,4.0,121.0,110.0,2600.0,12.8,77.0,Europe
20.3,5.0,131.0,103.0,2830.0,15.9,78.0,Europe
40.9,4.0,85.0,0.0,1835.0,17.3,80.0,Europe
43.4,4.0,90.0,48.0,2335.0,23.7,80.0,Europe
26.0,4.0,116.0,75.0,2246.0,14.0,74.0,Europe
16.2,6.0,163.0,133.0,3410.0,15.8,78.0,Europe
33.0,4.0,91.0,53.0,1795.0,17.5,75.0,Japan
31.0,4.0,71.0,65.0,1773.0,19.0,71.0,Japan
31.0,4.0,91.0,68.0,1970.0,17.6,82.0,Japan
27.0,4.0,97.0,88.0,2130.0,14.5,70.0,Japan
37.2,4.0,86.0,65.0,2019.0,16.4,80.0,Japan
33.8,4.0,97.0,67.0,2145.0,18.0,80.0,Japan
21.5,3.0,80.0,110.0,2720.0,13.5,77.0,Japan
37.0,4.0,91.0,68.0,2025.0,18.2,82.0,Japan
30.0,4.0,135.0,84.0,2385.0,12.9,81.0,US
15.5,8.0,304.0,120.0,3962.0,13.9,76.0,US
17.5,8.0,305.0,140.0,4215.0,13.0,76.0,US
19.4,8.0,318.0,140.0,3735.0,13.2,78.0,US
19.9,8.0,260.0,110.0,3365.0,15.5,78.0,US
34.7,4.0,105.0,63.0,2215.0,14.9,81.0,US
34.4,4.0,98.0,65.0,2045.0,16.2,81.0,US
22.0,6.0,250.0,105.0,3353.0,14.5,76.0,US
17.0,8.0,302.0,140.0,3449.0,10.5,70.0,US
18.0,6.0,250.0,88.0,3139.0,14.5,71.0,US
17.7,6.0,231.0,165.0,3445.0,13.4,78.0,US
22.4,6.0,231.0,110.0,3415.0,15.8,81.0,US
13.0,8.0,350.0,175.0,4100.0,13.0,73.0,US
18.1,8.0,302.0,139.0,3205.0,11.2,78.0,US
15.0,6.0,250.0,72.0,3158.0,19.5,75.0,US
13.0,8.0,318.0,150.0,3755.0,14.0,76.0,US
17.5,8.0,318.0,140.0,4080.0,13.7,78.0,US
13.0,8.0,400.0,150.0,4464.0,12.0,73.0,US
13.0,8.0,302.0,130.0,3870.0,15.0,76.0,US
36.0,4.0,98.0,70.0,2125.0,17.3,82.0,US
26.0,4.0,91.0,70.0,1955.0,20.5,71.0,US
16.5,8.0,350.0,180.0,4380.0,12.1,76.0,US
11.0,8.0,429.0,208.0,4633.0,11.0,72.0,US
0.0,8.0,350.0,165.0,4142.0,11.5,70.0,US
21.0,4.0,122.0,86.0,2226.0,16.5,72.0,US
