MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
26.0,4.0,97.0,46.0,1835.0,20.5,70.0,Europe
18.0,4.0,121.0,112.0,2933.0,14.5,72.0,Europe
23.0,4.0,115.0,95.0,2694.0,15.0,75.0,Europe
30.5,4.0,97.0,78.0,2190.0,14.1,77.0,Europe
25.0,4.0,116.0,81.0,2220.0,16.9,76.0,Europe
22.0,4.0,121.0,76.0,2511.0,18.0,72.0,Europe
0.0,4.0,121.0,110.0,2800.0,15.4,81.0,Europe
26.0,4.0,79.0,67.0,1963.0,15.5,74.0,Europe
34.1,4.0,91.0,68.0,1985.0,16.0,81.0,Japan
26.0,4.0,108.0,93.0,2391.0,15.5,74.0,Japan
35.1,4.0,81.0,60.0,1760.0,16.1,81.0,Japan
19.0,6.0,156.0,108.0,2930.0,15.5,76.0,Japan
33.0,4.0,91.0,53.0,1795.0,17.4,76.0,Japan
20.0,4.0,97.0,88.0,2279.0,19.0,73.0,Japan
21.1,4.0,134.0,95.0,2515.0,14.8,78.0,Japan
44.6,4.0,91.0,67.0,1850.0,13.8,80.0,Japan
21.0,6.0,200.0,85.0,2587.0,16.0,70.0,US
18.0,6.0,250.0,78.0,3574.0,21.0,76.0,US
24.3,4.0,151.0,90.0,3003.0,20.1,80.0,US
15.0,6.0,258.0,110.0,3730.0,19.0,75.0,US
18.0,6.0,232.0,100.0,2789.0,15.0,73.0,US
13.0,8.0,360.0,170.0,4654.0,13.0,73.0,US
13.0,8.0,318.0,150.0,3940.0,13.2,76.0,US
20.2,6.0,232.0,90.0,3265.0,18.2,79.0,US
15.0,8.0,350.0,145.0,4082.0,13.0,73.0,US
17.6,8.0,302.0,129.0,3725.0,13.4,79.0,US
13.0,8.0,350.0,155.0,4502.0,13.5,72.0,US
15.0,8.0,390.0,190.0,3850.0,8.5,70.0,US
15.5,8.0,400.0,190.0,4325.0,12.2,77.0,US
23.6,4.0,140.0,0.0,2905.0,14.3,80.0,US
15.5,8.0,351.0,142.0,4054.0,14.3,79.0,US
18.5,8.0,360.0,150.0,3940.0,13.0,79.0,US
13.0,8.0,440.0,215.0,4735.0,11.0,73.0,US
15.0,8.0,302.0,130.0,4295.0,14.9,77.0,US
31.0,4.0,119.0,82.0,2720.0,19.4,82.0,US
25.5,4.0,122.0,96.0,2300.0,15.5,77.0,US
28.4,4.0,151.0,90.0,2670.0,16.0,79.0,US
16.0,8.0,400.0,170.0,4668.0,11.5,75.0,US
20.5,6.0,200.0,95.0,3155.0,18.2,78.0,US
23.9,8.0,260.0,90.0,3420.0,22.2,79.0,US
27.0,4.0,112.0,88.0,2640.0,18.6,82.0,US
20.5,6.0,225.0,100.0,3430.0,17.2,78.0,US
