MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
25.0,4.0,104.0,95.0,2375.0,17.5,70.0,Europe
35.0,4.0,122.0,88.0,2500.0,15.1,80.0,Europe
26.0,4.0,97.0,46.0,1950.0,21.0,73.0,Europe
33.0,4.0,105.0,74.0,2190.0,14.2,81.0,Europe
24.0,4.0,116.0,75.0,2158.0,15.5,73.0,Europe
26.0,4.0,97.0,78.0,2300.0,14.5,74.0,Europe
22.0,4.0,121.0,98.0,2945.0,14.5,75.0,Europe
34.1,4.0,86.0,65.0,1975.0,15.2,79.0,Japan
36.0,4.0,107.0,75.0,2205.0,14.5,82.0,Japan
32.2,4.0,108.0,75.0,2265.0,15.2,80.0,Japan
31.0,4.0,79.0,67.0,1950.0,19.0,74.0,Japan
31.6,4.0,120.0,74.0,2635.0,18.3,81.0,Japan
27.2,4.0,119.0,97.0,2300.0,14.7,78.0,Japan
32.9,4.0,119.0,100.0,2615.0,14.8,81.0,Japan
36.0,4.0,120.0,88.0,2160.0,14.5,82.0,Japan
16.0,8.0,318.0,150.0,4190.0,13.0,76.0,US
12.0,8.0,429.0,198.0,4952.0,11.5,73.0,US
14.0,8.0,455.0,225.0,3086.0,10.0,70.0,US
19.0,6.0,225.0,95.0,3264.0,16.0,75.0,US
25.0,6.0,181.0,110.0,2945.0,16.4,82.0,US
14.5,8.0,351.0,152.0,4215.0,12.8,76.0,US
17.0,8.0,304.0,150.0,3672.0,11.5,72.0,US
29.0,4.0,85.0,52.0,2035.0,22.2,76.0,US
22.3,4.0,140.0,88.0,2890.0,17.3,79.0,US
19.2,8.0,267.0,125.0,3605.0,15.0,79.0,US
11.0,8.0,318.0,210.0,4382.0,13.5,70.0,US
34.0,4.0,112.0,88.0,2395.0,18.0,82.0,US
20.6,6.0,231.0,105.0,3380.0,15.8,78.0,US
14.0,8.0,302.0,137.0,4042.0,14.5,73.0,US
15.5,8.0,318.0,145.0,4140.0,13.7,77.0,US
21.0,6.0,200.0,0.0,2875.0,17.0,74.0,US
18.0,6.0,250.0,105.0,3459.0,16.0,75.0,US
26.4,4.0,140.0,88.0,2870.0,18.1,80.0,US
16.5,8.0,351.0,138.0,3955.0,13.2,79.0,US
14.0,8.0,440.0,215.0,4312.0,8.5,70.0,US
13.0,8.0,350.0,150.0,4699.0,14.5,74.0,US
15.0,8.0,350.0,165.0,3693.0,11.5,70.0,US
23.0,8.0,350.0,125.0,3900.0,17.4,79.0,US
38.0,4.0,105.0,63.0,2125.0,14.7,82.0,US
14.0,8.0,318.0,150.0,4096.0,13.0,71.0,US
