Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
BMW 2002,26.0,4,121.0,113.0,2234.0,12.5,70,Europe
Renault 5 GTL,36.0,4,79.0,58.0,1825.0,18.6,77,Europe
Volvo Diesel,30.7,6,145.0,76.0,3160.0,19.6,81,Europe
Opel 1900,28.0,4,116.0,90.0,2123.0,14.0,71,Europe
Volvo 145e (sw),18.0,4,121.0,112.0,2933.0,14.5,72,Europe
Fiat 124 TC,26.0,4,116.0,75.0,2246.0,14.0,74,Europe
Saab 99e,25.0,4,104.0,95.0,2375.0,17.5,70,Europe
Audi 100 LS,24.0,4,107.0,90.0,2430.0,14.5,70,Europe
Datsun 210,40.8,4,85.0,65.0,2110.0,19.2,80,Japan
Toyota Corolla Mark II (sw),23.0,4,120.0,97.0,2506.0,14.5,72,Japan
Subaru DL,33.8,4,97.0,67.0,2145.0,18.0,80,Japan
Toyota Corolla Liftback,26.0,4,97.0,75.0,2265.0,18.2,77,Japan
Toyota Corolla,31.0,4,76.0,52.0,1649.0,16.5,74,Japan
Nissan Stanza XE,36.0,4,120.0,88.0,2160.0,14.5,82,Japan
Honda Civic,33.0,4,91.0,53.0,1795.0,17.4,76,Japan
Toyota Camry,20.0,4,97.0,88.0,2279.0,19.0,73,Japan
Chevrolet Malibu,13.0,8,350.0,145.0,3988.0,13.0,73,US
AMC Concord,19.4,6,232.0,90.0,3210.0,17.2,78,US
AMC Hornet,19.0,6,232.0,100.0,2901.0,16.0,74,US
AMC Ambassador SST,17.0,8,304.0,150.0,3672.0,11.5,72,US
Ford Escort 2H,29.9,4,98.0,65.0,2380.0,20.7,81,US
Plymouth Horizon,34.2,4,105.0,70.0,2200.0,13.2,79,US
Dodge Monaco (sw),12.0,8,383.0,180.0,4955.0,11.5,71,US
Dodge Colt,28.0,4,90.0,75.0,2125.0,14.5,74,US
Ford Country,12.0,8,400.0,167.0,4906.0,12.5,73,US
Chevrolet Nova,15.0,6,250.0,100.0,3336.0,17.0,74,US
Buick Regal Sport Coupe (turbo),17.7,6,231.0,165.0,3445.0,13.4,78,US
Plymouth Duster,23.0,6,198.0,95.0,2904.0,16.0,73,US
Dodge Colt m/m,33.5,4,98.0,83.0,2075.0,15.9,77,US
Ford Torino (sw),0.0,8,351.0,153.0,4034.0,11.0,70,US
Dodge Aries SE,29.0,4,135.0,84.0,2525.0,16.0,82,US
Ford Ranger,28.0,4,120.0,79.0,2625.0,18.6,82,US
Chrysler Lebaron Medallion,26.0,4,156.0,92.0,2585.0,14.5,82,US
Mercury Cougar Brougham,15.0,8,302.0,130.0,4295.0,14.9,77,US
Buick Skylark Limited,28.4,4,151.0,90.0,2670.0,16.0,79,US
AMC Hornet Sportabout (sw),18.0,6,258.0,110.0,2962.0,13.5,71,US
Plymouth 'Cuda 340,14.0,8,340.0,160.0,3609.0,8.0,70,US
Dodge Omni,30.9,4,105.0,75.0,2230.0,14.5,78,US
Ford Country Squire (sw),15.5,8,351.0,142.0,4054.0,14.3,79,US
Ford Maverick,15.0,6,250.0,72.0,3158.0,19.5,75,US
AMC Concord DL 6,20.2,6,232.0,90.0,3265.0,18.2,79,US
Ford Gran Torino,14.5,8,351.0,152.0,4215.0,12.8,76,US
