Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Saab 900s,0.0,4,121.0,110.0,2800.0,15.4,81,Europe
Volkswagen Dasher,26.0,4,79.0,67.0,1963.0,15.5,74,Europe
Volkswagen Super Beetle 117,0.0,4,97.0,48.0,1978.0,20.0,71,Europe
Fiat 128,24.0,4,90.0,75.0,2108.0,15.5,74,Europe
Volkswagen 1131 Deluxe Sedan,26.0,4,97.0,46.0,1835.0,20.5,70,Europe
Fiat 124 Sport Coupe,26.0,4,98.0,90.0,2265.0,15.5,73,Europe
Audi 100LS,23.0,4,115.0,95.0,2694.0,15.0,75,Europe
Mercedes-Benz 280s,16.5,6,168.0,120.0,3820.0,16.7,76,Europe
Datsun 810 Maxima,24.2,6,146.0,120.0,2930.0,13.8,81,Japan
Toyota Corolla Liftback,29.8,4,134.0,90.0,2711.0,15.5,80,Japan
Toyota Cressida,25.4,6,168.0,116.0,2900.0,12.6,81,Japan
Toyota Celica GT Liftback,21.1,4,134.0,95.0,2515.0,14.8,78,Japan
Mazda RX3,18.0,3,70.0,90.0,2124.0,13.5,73,Japan
Subaru,32.3,4,97.0,67.0,2065.0,17.8,81,Japan
Datsun 310 GX,38.0,4,91.0,67.0,1995.0,16.2,82,Japan
Datsun 810,22.0,6,146.0,97.0,2815.0,14.5,77,Japan
Plymouth Fury iii,14.0,8,318.0,150.0,4096.0,13.0,71,US
Dodge Colt (sw),28.0,4,98.0,80.0,2164.0,15.0,72,US
AMC Matador,15.5,8,304.0,120.0,3962.0,13.9,76,US
Plymouth Grand Fury,16.0,8,318.0,150.0,4498.0,14.5,75,US
Chevrolet Impala,14.0,8,350.0,165.0,4209.0,12.0,71,US
Ford Torino,17.0,8,302.0,140.0,3449.0,10.5,70,US
Buick Opel Isuzu Deluxe,30.0,4,111.0,80.0,2155.0,14.8,77,US
Buick Skylark,20.5,6,231.0,105.0,3425.0,16.9,77,US
Pontiac Grand Prix,16.0,8,400.0,230.0,4278.0,9.5,73,US
Oldsmobile Omega Brougham,26.8,6,173.0,115.0,2700.0,12.9,79,US
Chevrolet Woody,24.5,4,98.0,60.0,2164.0,22.1,76,US
Chevrolet Chevelle Concours (sw),0.0,8,350.0,165.0,4142.0,11.5,70,US
Ford Galaxie 500,15.0,8,429.0,198.0,4341.0,10.0,70,US
Dodge Challenger SE,15.0,8,383.0,170.0,3563.0,10.0,70,US
Ford Fairmont (auto),20.2,6,200.0,85.0,2965.0,15.8,78,US
Plymouth Satellite Sebring,18.0,6,225.0,105.0,3613.0,16.5,74,US
Plymouth Satellite Custom (sw),14.0,8,318.0,150.0,4077.0,14.0,72,US
Ford F108,13.0,8,302.0,130.0,3870.0,15.0,76,US
Dodge St. Regis,18.2,8,318.0,135.0,3830.0,15.2,79,US
Ford Galaxie 500,14.0,8,351.0,153.0,4129.0,13.0,72,US
Buick Skylark,26.6,4,151.0,84.0,2635.0,16.4,81,US
Chrysler Cordoba,15.5,8,400.0,190.0,4325.0,12.2,77,US
Plymouth Champ,39.0,4,86.0,64.0,1875.0,16.4,81,US
AMC Spirit DL,27.4,4,121.0,80.0,2670.0,15.0,79,US
Ford Country Squire (sw),13.0,8,400.0,170.0,4746.0,12.0,71,US
Plymouth Arrow GS,25.5,4,122.0,96.0,2300.0,15.5,77,US
