Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Volvo 245,20.0,4,130.0,102.0,3150.0,15.7,76,Europe
Peugeot 504,27.2,4,141.0,71.0,3190.0,24.8,79,Europe
Opel Manta,24.0,4,116.0,75.0,2158.0,15.5,73,Europe
Renault 18i,34.5,4,100.0,0.0,2320.0,15.8,81,Europe
Volkswagen Rabbit,29.8,4,89.0,62.0,1845.0,15.3,80,Europe
Mercedes-Benz 240d,30.0,4,146.0,67.0,3250.0,21.8,80,Europe
Audi Fox,29.0,4,98.0,83.0,2219.0,16.5,74,Europe
Datsun B210 GX,39.4,4,85.0,70.0,2070.0,18.6,78,Japan
Datsun 200-SX,23.9,4,119.0,97.0,2405.0,14.9,78,Japan
Toyota Mark II,20.0,6,156.0,122.0,2807.0,13.5,73,Japan
Datsun 510 Hatchback,37.0,4,119.0,92.0,2434.0,15.0,80,Japan
Toyota Corolla 1600 (sw),27.0,4,97.0,88.0,2100.0,16.5,72,Japan
Honda Civic 1500 gl,44.6,4,91.0,67.0,1850.0,13.8,80,Japan
Honda Accord LX,29.5,4,98.0,68.0,2135.0,16.6,78,Japan
Honda Civic 1300,35.1,4,81.0,60.0,1760.0,16.1,81,Japan
Ford LTD Landau,17.6,8,302.0,129.0,3725.0,13.4,79,US
Pontiac Catalina,16.0,8,400.0,170.0,4668.0,11.5,75,US
Plymouth Satellite (sw),0.0,8,383.0,175.0,4166.0,10.5,70,US
AMC Gremlin,20.0,6,232.0,100.0,2914.0,16.0,75,US
AMC Gremlin,18.0,6,232.0,100.0,2789.0,15.0,73,US
Buick Century 350,13.0,8,350.0,175.0,4100.0,13.0,73,US
AMC Concord d/l,18.1,6,258.0,120.0,3410.0,15.1,78,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360.0,150.0,3940.0,13.0,79,US
Chevrolet C10,13.0,8,350.0,145.0,4055.0,12.0,76,US
Ford Mustang Boss 302,0.0,8,302.0,140.0,3353.0,8.0,70,US
Chevrolet Malibu,20.5,6,200.0,95.0,3155.0,18.2,78,US
Chevrolet Vega,21.0,4,140.0,72.0,2401.0,19.5,73,US
Chrysler New Yorker Brougham,13.0,8,440.0,215.0,4735.0,11.0,73,US
Oldsmobile Cutlass Ciera (diesel),38.0,6,262.0,85.0,3015.0,17.0,82,US
Dodge D200,11.0,8,318.0,210.0,4382.0,13.5,70,US
Chevrolet Nova Custom,16.0,6,250.0,100.0,3278.0,18.0,73,US
Dodge Charger 2.2,36.0,4,135.0,84.0,2370.0,13.0,82,US
Ford Pinto,25.0,4,98.0,0.0,2046.0,19.0,71,US
Pontiac Phoenix LJ,19.2,6,231.0,105.0,3535.0,19.2,78,US
Chevrolet Monte Carlo,15.0,8,400.0,150.0,3761.0,9.5,70,US
Ford Pinto,26.0,4,122.0,80.0,2451.0,16.5,74,US
Ford Grenada,18.5,6,250.0,98.0,3525.0,19.0,77,US
Ford Galaxie 500,14.0,8,351.0,153.0,4154.0,13.5,71,US
Chevrolet Vega (sw),22.0,4,140.0,72.0,2408.0,19.0,71,US
Pontiac Grand Prix LJ,16.0,8,400.0,180.0,4220.0,11.1,77,US
Ford Pinto Runabout,21.0,4,122.0,86.0,2226.0,16.5,72,US
