Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Volkswagen Rabbit Custom,29.0,4,97.0,78.0,1940.0,14.5,77,Europe
Volkswagen Rabbit l,36.0,4,105.0,74.0,1980.0,15.3,82,Europe
Citroen DS-21 Pallas,0.0,4,133.0,115.0,3090.0,17.5,70,Europe
Peugeot 505s Turbo Diesel,28.1,4,141.0,80.0,3230.0,20.4,81,Europe
Renault Lecar Deluxe,40.9,4,85.0,0.0,1835.0,17.3,80,Europe
Volkswagen Pickup,44.0,4,97.0,52.0,2130.0,24.6,82,Europe
Volkswagen Rabbit C (Diesel),44.3,4,90.0,48.0,2085.0,21.7,80,Europe
Mazda GLC Custom,31.0,4,91.0,68.0,1970.0,17.6,82,Japan
Mazda RX2 Coupe,19.0,3,70.0,97.0,2330.0,13.5,72,Japan
Honda Accord,36.0,4,107.0,75.0,2205.0,14.5,82,Japan
Toyota Corolla Hardtop,24.0,4,113.0,95.0,2278.0,15.5,72,Japan
Toyota Tercel,37.7,4,89.0,62.0,2050.0,17.3,81,Japan
Mazda 626,31.6,4,120.0,74.0,2635.0,18.3,81,Japan
Mazda GLC Custom l,37.0,4,91.0,68.0,2025.0,18.2,82,Japan
Mercury Monarch ghia,20.2,8,302.0,139.0,3570.0,12.8,78,US
AMC Concord DL,23.0,4,151.0,0.0,3035.0,20.5,82,US
Oldsmobile Vista Cruiser,12.0,8,350.0,180.0,4499.0,12.5,73,US
Chevrolet Nova,22.0,6,250.0,105.0,3353.0,14.5,76,US
AMC Ambassador DPL,15.0,8,390.0,190.0,3850.0,8.5,70,US
Chevrolet Citation,28.0,4,151.0,90.0,2678.0,16.5,80,US
Ford Futura,18.1,8,302.0,139.0,3205.0,11.2,78,US
Buick LeSabre Custom,13.0,8,350.0,155.0,4502.0,13.5,72,US
Buick Century Special,20.6,6,231.0,105.0,3380.0,15.8,78,US
Plymouth Horizon Miser,38.0,4,105.0,63.0,2125.0,14.7,82,US
Plymouth Horizon TC3,34.5,4,105.0,70.0,2150.0,14.9,79,US
Ford Grenada gl,20.2,6,200.0,88.0,3060.0,17.1,81,US
Chevrolete Chevelle Malibu,16.0,6,250.0,105.0,3897.0,18.5,75,US
Dodge Monaco Brougham,15.5,8,318.0,145.0,4140.0,13.7,77,US
Pontiac Catalina,14.0,8,455.0,225.0,4425.0,10.0,70,US
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,100.0,3781.0,17.0,74,US
AMC Gremlin,19.0,6,232.0,100.0,2634.0,13.0,71,US
Chevrolet Chevette,30.0,4,98.0,68.0,2155.0,16.5,78,US
Mercury Lynx l,36.0,4,98.0,70.0,2125.0,17.3,82,US
Dodge Aspen,19.1,6,225.0,90.0,3381.0,18.7,80,US
Plymouth Fury iii,14.0,8,440.0,215.0,4312.0,8.5,70,US
Ford F250,10.0,8,360.0,215.0,4615.0,14.0,70,US
Pontiac Ventura SJ,18.5,6,250.0,110.0,3645.0,16.2,76,US
Dodge Rampage,32.0,4,135.0,84.0,2295.0,11.6,82,US
Pontiac Catalina Brougham,14.0,8,400.0,175.0,4464.0,11.5,71,US
