Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Volkswagen Type 3,23.0,4,97.0,54.0,2254.0,23.5,72,Europe
Fiat x1.9,31.0,4,79.0,67.0,2000.0,16.0,74,Europe
Peugeot 604sl,16.2,6,163.0,133.0,3410.0,15.8,78,Europe
BMW 320i,21.5,4,121.0,110.0,2600.0,12.8,77,Europe
Triumph TR7 Coupe,35.0,4,122.0,88.0,2500.0,15.1,80,Europe
Peugeot 504,25.0,4,110.0,87.0,2672.0,17.5,70,Europe
Audi 100LS,20.0,4,114.0,91.0,2582.0,14.0,73,Europe
Honda Accord,32.4,4,107.0,72.0,2290.0,17.0,80,Japan
Honda Accord CVCC,31.5,4,98.0,68.0,2045.0,18.5,77,Japan
Toyota Corolla 1200,32.0,4,71.0,65.0,1836.0,21.0,74,Japan
Honda Prelude,33.7,4,107.0,75.0,2210.0,14.4,81,Japan
Mazda GLC Deluxe,34.1,4,86.0,65.0,1975.0,15.2,79,Japan
Toyota Celica GT,32.0,4,144.0,96.0,2665.0,13.9,82,Japan
Mazda GLC 4,34.1,4,91.0,68.0,1985.0,16.0,81,Japan
Datsun 310,37.2,4,86.0,65.0,2019.0,16.4,80,Japan
Plymouth Cricket,26.0,4,91.0,70.0,1955.0,20.5,71,US
Ford Escort 4W,34.4,4,98.0,65.0,2045.0,16.2,81,US
Chevy S-10,31.0,4,119.0,82.0,2720.0,19.4,82,US
Oldsmobile Cutlass LS,26.6,8,350.0,105.0,3725.0,19.0,81,US
Mercury Grand Marquis,16.5,8,351.0,138.0,3955.0,13.2,79,US
Buick Century Limited,25.0,6,181.0,110.0,2945.0,16.4,82,US
Chevrolet Vega,25.0,4,140.0,75.0,2542.0,17.0,74,US
Ford Maverick,18.0,6,250.0,88.0,3021.0,16.5,73,US
Pontiac Phoenix,33.5,4,151.0,90.0,2556.0,13.2,79,US
Buick Skyhawk,21.0,6,231.0,110.0,3039.0,15.0,75,US
Ford Pinto,19.0,4,122.0,85.0,2310.0,18.5,73,US
Oldsmobile Starfire SX,23.8,4,151.0,85.0,2855.0,17.6,78,US
Plymouth Reliant,30.0,4,135.0,84.0,2385.0,12.9,81,US
Chevrolet Impala,11.0,8,400.0,150.0,4997.0,14.0,73,US
Dodge Aspen 6,20.6,6,225.0,110.0,3360.0,16.6,79,US
Pontiac Firebird,19.0,6,250.0,100.0,3282.0,15.0,71,US
Plymouth Valiant Custom,19.0,6,225.0,95.0,3264.0,16.0,75,US
AMC Pacer d/l,17.5,6,258.0,95.0,3193.0,17.8,76,US
Plymouth Volare,20.5,6,225.0,100.0,3430.0,17.2,78,US
Plymouth Duster,22.0,6,198.0,95.0,2833.0,15.5,70,US
Ford Gran Torino,16.0,8,302.0,140.0,4141.0,14.0,74,US
Plymouth Fury Gran Sedan,14.0,8,318.0,150.0,4237.0,14.5,73,US
Plymouth Horizon 4,34.7,4,105.0,63.0,2215.0,14.9,81,US
Ford Mustang GL,27.0,4,140.0,86.0,2790.0,15.6,82,US
Plymouth Volare Premier v8,13.0,8,318.0,150.0,3940.0,13.2,76,US
