Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Volkswagen 411 (sw),22.0,4,121.0,76.0,2511.0,18.0,72,Europe
Peugeot 304,30.0,4,79.0,70.0,2074.0,19.5,71,Europe
Mercedes Benz 300d,25.4,5,183.0,77.0,3530.0,20.1,79,Europe
Audi 4000,34.3,4,97.0,78.0,2188.0,15.8,80,Europe
Fiat 128,29.0,4,68.0,49.0,1867.0,19.5,73,Europe
Audi 5000,20.3,5,131.0,103.0,2830.0,15.9,78,Europe
Peugeot 504,23.0,4,120.0,88.0,2957.0,17.0,75,Europe
Audi 5000s (diesel),36.4,5,121.0,67.0,2950.0,19.9,80,Europe
Datsun 200SX,32.9,4,119.0,100.0,2615.0,14.8,81,Japan
Toyota Starlet,39.1,4,79.0,58.0,1755.0,16.9,81,Japan
Mazda RX-7 GS,23.7,3,70.0,100.0,2420.0,12.5,80,Japan
Toyota Corolla,24.0,4,134.0,96.0,2702.0,13.5,75,Japan
Honda Civic (auto),32.0,4,91.0,67.0,1965.0,15.7,82,Japan
Datsun 510,27.2,4,119.0,97.0,2300.0,14.7,78,Japan
Mazda GLC Deluxe,32.8,4,78.0,52.0,1985.0,19.4,78,Japan
Datsun B210,31.0,4,79.0,67.0,1950.0,19.0,74,Japan
Chevrolet Caprice Classic,17.0,8,305.0,130.0,3840.0,15.4,79,US
Oldsmobile Omega,11.0,8,350.0,180.0,3664.0,11.0,73,US
Ford Gran Torino,14.0,8,302.0,137.0,4042.0,14.5,73,US
Ford Torino 500,19.0,6,250.0,88.0,3302.0,15.5,71,US
Dodge D100,13.0,8,318.0,150.0,3755.0,14.0,76,US
Mercury Zephyr 6,19.8,6,200.0,85.0,2990.0,18.2,79,US
AMC Matador,14.0,8,304.0,150.0,3672.0,11.5,73,US
Ford LTD,14.0,8,351.0,148.0,4657.0,13.5,75,US
Mercury Marquis Brougham,12.0,8,429.0,198.0,4952.0,11.5,73,US
Ford Gran Torino (sw),13.0,8,302.0,140.0,4294.0,16.0,72,US
Chevrolet Monte Carlo S,15.0,8,350.0,145.0,4082.0,13.0,73,US
Chevrolet Chevelle Malibu Classic,17.5,8,305.0,140.0,4215.0,13.0,76,US
AMC Concord,24.3,4,151.0,90.0,3003.0,20.1,80,US
Dodge Coronet Brougham,16.0,8,318.0,150.0,4190.0,13.0,76,US
Chevrolet Vega 2300,28.0,4,140.0,90.0,2264.0,15.5,71,US
Ford Fairmont,26.4,4,140.0,88.0,2870.0,18.1,80,US
Plymouth Volare Custom,19.0,6,225.0,100.0,3630.0,17.7,77,US
Chevrolet Citation,28.8,6,173.0,115.0,2595.0,11.3,79,US
Dodge Diplomat,19.4,8,318.0,140.0,3735.0,13.2,78,US
Oldsmobile Delta 88 Royale,12.0,8,350.0,160.0,4456.0,13.5,72,US
Ford Mustang,18.0,6,250.0,88.0,3139.0,14.5,71,US
AMC Hornet,22.5,6,232.0,90.0,3085.0,17.6,76,US
Chevrolet Malibu Classic (sw),19.2,8,267.0,125.0,3605.0,15.0,79,US
Plymouth Valiant,18.0,6,225.0,105.0,3121.0,16.5,73,US
Chevrolet Cavalier 2-door,34.0,4,112.0,88.0,2395.0,18.0,82,US
Chevrolet Camaro,27.0,4,151.0,90.0,2950.0,17.3,82,US
