Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Volvo 264gl,17.0,6,163.0,125.0,3140.0,13.6,78,Europe
Volkswagen Rabbit,29.5,4,97.0,71.0,1825.0,12.2,76,Europe
Renault 12tl,27.0,4,101.0,83.0,2202.0,15.3,76,Europe
Fiat Strada Custom,37.3,4,91.0,69.0,2130.0,14.7,79,Europe
Volkswagen Dasher,25.0,4,90.0,71.0,2223.0,16.5,75,Europe
Volkswagen Rabbit,29.0,4,90.0,70.0,1937.0,14.2,76,Europe
Volkswagen Model 111,27.0,4,97.0,60.0,1834.0,19.0,71,Europe
Datsun 710,24.0,4,119.0,97.0,2545.0,17.0,75,Japan
Honda Civic CVCC,33.0,4,91.0,53.0,1795.0,17.5,75,Japan
Datsun B-210,32.0,4,85.0,70.0,1990.0,17.0,76,Japan
Datsun 510 (sw),28.0,4,97.0,92.0,2288.0,17.0,72,Japan
Subaru,26.0,4,108.0,93.0,2391.0,15.5,74,Japan
Toyota Corolla,32.4,4,108.0,75.0,2350.0,16.8,81,Japan
Datsun 610,22.0,4,108.0,94.0,2379.0,16.5,73,Japan
Toyota Corolla 1200,31.0,4,71.0,65.0,1773.0,19.0,71,Japan
Chrysler Lebaron Salon,17.6,6,225.0,85.0,3465.0,16.6,81,US
Pontiac Catalina,14.0,8,400.0,175.0,4385.0,12.0,72,US
Plymouth Sapporo,23.2,4,156.0,105.0,2745.0,16.7,78,US
Ford Grenada ghia,18.0,6,250.0,78.0,3574.0,21.0,76,US
Chevrolet Citation,23.5,6,173.0,110.0,2725.0,12.6,81,US
Chevrolet Monza 2+2,20.0,8,262.0,110.0,3221.0,13.5,75,US
Plymouth Satellite Custom,16.0,6,225.0,105.0,3439.0,15.5,71,US
Plymouth Reliant,27.2,4,135.0,84.0,2490.0,15.7,81,US
Chevrolet Chevette,32.1,4,98.0,70.0,2120.0,15.5,80,US
AMC Ambassador Brougham,13.0,8,360.0,175.0,3821.0,11.0,73,US
Ford Fiesta,36.1,4,98.0,66.0,1800.0,14.4,78,US
Cadillac Eldorado,23.0,8,350.0,125.0,3900.0,17.4,79,US
Chevrolet Nova,18.0,6,250.0,105.0,3459.0,16.0,75,US
Ford Maverick,21.0,6,200.0,85.0,2587.0,16.0,70,US
Buick Century Luxus (sw),13.0,8,350.0,150.0,4699.0,14.5,74,US
AMC Matador,16.0,6,258.0,110.0,3632.0,18.0,74,US
Ford Mustang Cobra,23.6,4,140.0,0.0,2905.0,14.3,80,US
Pontiac Lemans V6,21.5,6,231.0,115.0,3245.0,15.4,79,US
Oldsmobile Cutlass Salon Brougham,23.9,8,260.0,90.0,3420.0,22.2,79,US
Chevrolet Caprice Classic,17.5,8,305.0,145.0,3880.0,12.5,77,US
Plymouth Fury,18.0,6,225.0,95.0,3785.0,19.0,75,US
Dodge Aspen SE,20.0,6,225.0,100.0,3651.0,17.7,76,US
Plymouth Fury III,15.0,8,318.0,150.0,4135.0,13.5,72,US
Mercury Capri v6,21.0,6,155.0,107.0,2472.0,14.0,73,US
Pontiac Sunbird Coupe,24.5,4,151.0,88.0,2740.0,16.0,77,US
