Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
Volkswagen Super Beetle,26.0,4,97.0,46.0,1950.0,21.0,73,Europe
Fiat 131,28.0,4,107.0,86.0,2464.0,15.5,76,Europe
Volkswagen Rabbit Custom Diesel,43.1,4,90.0,48.0,1985.0,21.5,78,Europe
Renault 12 (sw),26.0,4,96.0,69.0,2189.0,18.0,72,Europe
Fiat 124B,30.0,4,88.0,76.0,2065.0,14.5,71,Europe
Saab 99gle,21.6,4,121.0,115.0,2795.0,15.7,78,Europe
Opel 1900,25.0,4,116.0,81.0,2220.0,16.9,76,Europe
Toyota Corolla Tercel,38.1,4,89.0,60.0,1968.0,18.8,80,Japan
Mazda 626,31.3,4,120.0,75.0,2542.0,17.5,80,Japan
Toyota Corolla Mark ii,24.0,4,113.0,95.0,2372.0,15.0,70,Japan
Honda Civic,24.0,4,120.0,97.0,2489.0,15.0,74,Japan
Datsun 210 MPG,37.0,4,85.0,65.0,1975.0,19.4,81,Japan
Datsun 210,31.8,4,85.0,65.0,2020.0,19.2,79,Japan
Mazda GLC,46.6,4,86.0,65.0,2110.0,17.9,80,Japan
Toyota Corolla,28.0,4,97.0,75.0,2155.0,16.4,76,Japan
Dodge Aspen,18.6,6,225.0,110.0,3620.0,18.7,78,US
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0,3504.0,12.0,70,US
AMC Pacer,19.0,6,232.0,90.0,3211.0,17.0,75,US
Buick Estate Wagon (sw),16.9,8,350.0,155.0,4360.0,14.9,79,US
Plymouth Custom Suburb,13.0,8,360.0,170.0,4654.0,13.0,73,US
AMC Matador,15.0,6,258.0,110.0,3730.0,19.0,75,US
Ford Mustang II 2+2,25.5,4,140.0,89.0,2755.0,15.8,77,US
Ford Pinto,18.0,6,171.0,97.0,2984.0,14.5,75,US
Chevrolet Chevette,30.5,4,98.0,63.0,2051.0,17.0,77,US
Ford Fairmont 4,22.3,4,140.0,88.0,2890.0,17.3,79,US
AMC Hornet,18.0,6,199.0,97.0,2774.0,15.5,70,US
Buick Century,17.0,6,231.0,110.0,3907.0,21.0,75,US
AMC Matador,18.0,6,232.0,100.0,3288.0,15.5,71,US
AMC Gremlin,21.0,6,199.0,90.0,2648.0,15.0,70,US
Pontiac J2000 SE Hatchback,31.0,4,112.0,85.0,2575.0,16.2,82,US
Plymouth Satellite,18.0,8,318.0,150.0,3436.0,11.0,70,US
Ford Pinto (sw),22.0,4,122.0,86.0,2395.0,16.0,72,US
Chevrolet Impala,14.0,8,454.0,220.0,4354.0,9.0,70,US
Dodge Colt Hatchback Custom,35.7,4,98.0,80.0,1915.0,14.4,79,US
Oldsmobile Cutlass Salon Brougham,19.9,8,260.0,110.0,3365.0,15.5,78,US
Chevrolet Cavalier Wagon,27.0,4,112.0,88.0,2640.0,18.6,82,US
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130.0,4098.0,14.0,72,US
Dodge Aries Wagon (sw),25.8,4,156.0,92.0,2620.0,14.4,81,US
Chevy C20,10.0,8,307.0,200.0,4376.0,15.0,70,US
AMC Hornet,18.0,6,232.0,100.0,2945.0,16.0,73,US
